CO2,Country of birth/nationality,VAR,Variable,GEN,Gender,COU,Country,YEA,Year,Value,Flag Codes,Flags
ZAF,South Africa,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2011,2011,8089,,
ZAF,South Africa,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2012,2012,8033,,
ZAF,South Africa,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2013,2013,5798,,
ZAF,South Africa,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2014,2014,4883,,
ZAF,South Africa,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2015,2015,4669,,
ZAF,South Africa,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2016,2016,3975,,
ZAF,South Africa,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2017,2017,4783,,
ZAF,South Africa,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2018,2018,4289,,
ZAF,South Africa,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2019,2019,4000,,
ZAF,South Africa,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2020,2020,3819,,
GBR,United Kingdom,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2000,2000,11825,,
GBR,United Kingdom,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2001,2001,13228,,
GBR,United Kingdom,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2002,2002,14561,,
GBR,United Kingdom,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2003,2003,18637,,
GBR,United Kingdom,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2004,2004,25697,,
GBR,United Kingdom,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2005,2005,26197,,
GBR,United Kingdom,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2006,2006,30896,,
GBR,United Kingdom,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2007,2007,30669,,
GBR,United Kingdom,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2008,2008,31718,,
GBR,United Kingdom,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2009,2009,33287,,
GBR,United Kingdom,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2010,2010,26701,,
GBR,United Kingdom,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2011,2011,21476,,
GBR,United Kingdom,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2012,2012,27010,,
GBR,United Kingdom,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2013,2013,23149,,
GBR,United Kingdom,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2014,2014,23798,,
