Council,Category,Sum of Actual 2024,Sum of Actual 2025,Sum of Budget 2025
North Sydney Council,User charges & fees,"$32,134,000","$30,734,000","$36,774,000"
Woollahra Municipal Council,Borrowing costs,"$1,806,000","$1,745,000","$3,014,000"
Woollahra Municipal Council,"Depreciation, amortisation & impairment","$15,348,000","$16,413,000","$16,948,000"
Woollahra Municipal Council,Employee benefits & on-costs,"$47,706,000","$52,968,000","$53,223,000"
Woollahra Municipal Council,Fair value increment/(decrement) on investment properties,"-$6,683,000","$19,000","$1,200,000"
Woollahra Municipal Council,Grants & contributions – capital,"$5,676,000","$4,615,000","$5,014,000"
Woollahra Municipal Council,Grants & contributions – operating,"$16,212,000","$8,612,000","$2,897,000"
Woollahra Municipal Council,Interest & investment income,"$5,626,000","$6,103,000","$3,223,000"
Woollahra Municipal Council,Materials & services,"$50,408,000","$51,840,000","$48,496,000"
Woollahra Municipal Council,Net loss from disposal of assets,"$2,538,000","$1,946,000","$1,685,000"
Woollahra Municipal Council,Net operating result attributable to Council,"$13,757,000","$9,963,000","$4,124,000"
Woollahra Municipal Council,Net operating result before capital grants,"-$2,455,000","$1,351,000","$1,228,000"
Woollahra Municipal Council,Operating result excluding depreciation,"$29,105,000","$26,376,000","$21,072,000"
Woollahra Municipal Council,Operating result from continuing operations,"$13,757,000","$9,963,000","$4,124,000"
Woollahra Municipal Council,Other expenses,"$4,807,000","$4,717,000","$5,041,000"
Woollahra Municipal Council,Other income,"$17,608,000","$17,655,000","$17,920,000"
Woollahra Municipal Council,Other revenues,"$16,230,000","$15,347,000","$16,941,000"
Woollahra Municipal Council,Rates & annual charges,"$66,136,000","$70,552,000","$70,681,000"
Woollahra Municipal Council,Total expenses excluding depreciation,"$107,265,000","$113,216,000","$111,459,000"
Woollahra Municipal Council,Total income from continuing operations,"$136,370,000","$139,592,000","$132,531,000"
Woollahra Municipal Council,User charges & fees,"$15,565,000","$16,689,000","$14,655,000"
